Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Order Year,Order Month Num,Order Month,Order Quarter,Profit Margin
CA-2025-100000,2025-06-21,2025-06-23,Second Class,CO-28289,Customer 28289,Consumer,Los Angeles,California,90036,West,OFF-ST-10000000,Office Supplies,Storage,Tenex File Box,11.75,1,0.1,3.23,2025,6,June,Q2,0.2749
CA-2025-100001,2025-12-23,2025-12-27,Standard Class,CO-87236,Customer 87236,Consumer,Houston,Texas,77002,Central,OFF-AR-10000001,Office Supplies,Art,Sharpie Highlighter Set,21.07,1,0.5,-5.25,2025,12,December,Q4,-0.2492
CA-2025-100002,2025-11-03,2025-11-06,Standard Class,CO-44671,Customer 44671,Consumer,Phoenix,Arizona,85001,West,OFF-PA-10000002,Office Supplies,Paper,Xerox 228 Premium Copy Paper,241.7,4,0.1,95.39,2025,11,November,Q4,0.3947
CA-2025-100003,2025-09-19,2025-09-21,Standard Class,CO-47930,Customer 47930,Corporate,Seattle,Washington,98103,West,TEC-MA-10000003,Technology,Machines,Dymo LabelWriter 450 Turbo,2939.08,4,0.0,564.62,2025,9,September,Q3,0.1921
CA-2025-100004,2025-03-22,2025-03-24,First Class,CO-89840,Customer 89840,Corporate,Boston,Massachusetts,02108,East,FUR-FU-10000004,Furniture,Furnishings,Luxo Task Lamp,1782.72,3,0.0,577.33,2025,3,March,Q1,0.3238
CA-2025-100005,2025-03-27,2025-03-31,Standard Class,HO-51347,Customer 51347,Home Office,Charlotte,North Carolina,28202,South,FUR-TA-10000005,Furniture,Tables,Beverage Air Work Table,574.69,2,0.3,-122.03,2025,3,March,Q1,-0.2123
CA-2025-100006,2025-01-09,2025-01-11,Second Class,CO-86622,Customer 86622,Corporate,Nashville,Tennessee,37203,South,OFF-AR-10000006,Office Supplies,Art,Sharpie Highlighter Set,12.73,1,0.0,3.83,2025,1,January,Q1,0.3009
CA-2025-100007,2025-12-26,2025-12-30,Standard Class,CO-88104,Customer 88104,Consumer,Charlotte,North Carolina,28202,South,TEC-PH-10000007,Technology,Phones,iPhone 15 Pro Max,2108.78,2,0.0,646.1,2025,12,December,Q4,0.3064
CA-2025-100008,2025-09-04,2025-09-06,Standard Class,CO-44522,Customer 44522,Consumer,New York City,New York,10011,East,TEC-CO-10000008,Technology,Copiers,Brother Multifunction Copier,810.73,1,0.0,92.93,2025,9,September,Q3,0.1146
CA-2025-100009,2025-10-25,2025-10-31,First Class,CO-74042,Customer 74042,Corporate,Los Angeles,California,90036,West,TEC-CO-10000009,Technology,Copiers,Canon ImageClass Laser Copier,633.85,5,0.3,-205.56,2025,10,October,Q4,-0.3243
