Category,Sub-Category,Total_Sales,Total_Profit,Total_Quantity
Technology,Machines,121499.31,22708.1,172
Technology,Copiers,119940.05,18268.920000000002,165
Technology,Phones,93139.61,20717.53,116
Technology,Accessories,92412.99,20220.86,132
Furniture,Furnishings,64865.14,13242.02,214
Furniture,Tables,57924.7,11971.1,188
Furniture,Bookcases,52741.07,12222.57,177
Furniture,Chairs,50762.79,10491.16,180
Office Supplies,Storage,13976.48,2806.6,259
Office Supplies,Art,13096.27,2670.53,228
Office Supplies,Paper,12145.49,2782.72,241
Office Supplies,Labels,11487.37,2547.1,206
Office Supplies,Binders,10852.31,2146.4700000000003,219
Office Supplies,Appliances,10683.86,2061.45,200
