Product Name,Total_Sales,Total_Quantity,Total_Profit
Canon ImageClass Laser Copier,52088.25,71,11850.800000000001
Star Micronics Receipt Printer,49071.61,65,13640.16
Dymo LabelWriter 450 Turbo,46308.13,60,4846.54
Hewlett Packard LaserJet Copier,41898.56,56,2528.92
SanDisk 128GB Flash Drive,30366.41,46,6555.16
Anker USB-C Hub 8-in-1,30118.399999999998,35,7103.679999999999
Beverage Air Work Table,26454.96,72,5887.3
Google Pixel 8 Pro,26208.06,35,3647.9
3M Laminating Machine,26119.57,47,4221.400000000001
Brother Multifunction Copier,25953.24,38,3889.2
