Employee ID,Age,Gender,Education Level,Department,Job Title,Years of Experience,Salary,Performance Rating,Work Mode
EMP-1000,42,Female,High School,Data Science,Data Scientist,17.7,141226.13,3,Hybrid
EMP-1001,53,Female,High School,Engineering,Software Engineer,7.7,90935.18,3,Hybrid
EMP-1002,53,Male,Bachelor's,Finance,Senior Finance Analyst,6.8,86743.15,3,Hybrid
EMP-1003,43,Female,High School,Sales,Sales Representative,6.9,73185.62,2,Remote
EMP-1004,40,Female,Bachelor's,Sales,Sales Associate,6.5,68950.49,1,Remote
EMP-1005,32,Male,High School,Sales,Sales Manager,1.7,81025.48,2,On-site
EMP-1006,28,Male,Bachelor's,Finance,Senior Finance Analyst,3.5,81493.89,2,Hybrid
EMP-1007,35,Male,Bachelor's,HR,HR Associate,11.1,91071.51,3,On-site
EMP-1008,32,Male,Bachelor's,HR,HR Associate,3.7,61634.04,3,Remote
EMP-1009,41,Male,PhD,Finance,Finance Manager,2.4,118329.84,2,Hybrid
EMP-1010,31,Male,Bachelor's,Finance,Financial Analyst,6.2,89959.02,4,On-site
EMP-1011,27,Female,Bachelor's,Engineering,Tech Lead,2.0,94074.94,3,Remote
EMP-1012,40,Female,Bachelor's,HR,HR Associate,11.8,88590.88,1,Hybrid
EMP-1013,39,Female,Bachelor's,HR,HR Associate,4.2,71668.21,3,Hybrid
EMP-1014,36,Male,Bachelor's,Finance,Senior Finance Analyst,5.1,70548.87,2,On-site
EMP-1015,30,Male,Bachelor's,Engineering,Software Engineer,1.2,76382.73,2,Remote
EMP-1016,41,Female,Bachelor's,Finance,Senior Finance Analyst,10.1,99364.5,1,On-site
EMP-1017,34,Female,High School,Engineering,Tech Lead,12.3,137330.06,2,Remote
EMP-1018,48,Male,Bachelor's,Executive,Vice President,25.3,219224.69,3,Hybrid
EMP-1019,34,Female,Bachelor's,HR,HR Manager,6.1,109473.27,3,Remote
EMP-1020,33,Male,Bachelor's,Finance,Financial Analyst,6.6,82081.99,3,Hybrid
EMP-1021,26,Male,Bachelor's,HR,HR Associate,0.2,61977.44,3,On-site
EMP-1022,37,Female,High School,Sales,Sales Associate,18.6,133289.82,4,Hybrid
EMP-1023,31,Male,Master's,Finance,Financial Analyst,1.9,90208.22,3,On-site
EMP-1024,37,Male,Bachelor's,Finance,Finance Manager,10.3,116541.53,4,Hybrid
EMP-1025,46,Male,Master's,Finance,Senior Finance Analyst,2.7,82545.96,3,Remote
EMP-1026,38,Male,Bachelor's,Data Science,Data Scientist,0.1,64101.97,1,Hybrid
EMP-1027,41,Male,High School,Executive,Vice President,1.6,116610.38,4,Remote
EMP-1028,29,Female,Bachelor's,Data Science,Data Science Manager,1.7,105632.41,2,Hybrid
EMP-1029,41,Male,High School,HR,HR Specialist,9.5,84979.6,2,On-site
EMP-1030,38,Male,Master's,Engineering,Software Engineer,5.6,99307.68,3,Remote
EMP-1031,34,Female,Bachelor's,Data Science,Data Science Manager,1.7,91358.91,2,Remote
EMP-1032,40,Male,Master's,Engineering,Engineering Manager,12.9,159210.68,3,On-site
EMP-1033,35,Male,Master's,Finance,Financial Analyst,10.7,112416.13,2,On-site
EMP-1034,34,Female,Bachelor's,Sales,Sales Representative,2.6,64952.29,2,Hybrid
EMP-1035,42,Male,Bachelor's,HR,HR Specialist,5.7,80987.47,4,Hybrid
EMP-1036,40,Female,Master's,Sales,Sales Associate,3.0,71087.37,3,Remote
EMP-1037,37,Male,Master's,Engineering,Tech Lead,0.7,122719.45,3,Hybrid
EMP-1038,36,Female,Master's,Data Science,Data Analyst,11.5,131091.73,3,Remote
EMP-1039,26,Male,Bachelor's,Data Science,Data Science Manager,0.5,105611.6,4,On-site
EMP-1040,45,Male,Bachelor's,Sales,Sales Manager,13.4,144696.77,2,Hybrid
EMP-1041,23,Female,Bachelor's,HR,HR Associate,0.3,67402.73,3,Remote
EMP-1042,28,Female,Bachelor's,Engineering,Software Engineer,2.7,76937.91,2,On-site
EMP-1043,32,Non-binary,High School,Data Science,Senior Data Scientist,1.9,65391.38,1,Remote
EMP-1044,27,Male,Bachelor's,HR,HR Associate,2.2,56723.45,3,Hybrid
EMP-1045,53,Male,PhD,Finance,Financial Analyst,17.4,156147.63,2,Hybrid
EMP-1046,46,Female,Bachelor's,HR,HR Associate,21.4,141244.76,2,Hybrid
EMP-1047,51,Male,Bachelor's,HR,HR Associate,19.9,131687.8,1,On-site
EMP-1048,40,Female,Bachelor's,Engineering,Software Engineer,11.4,108458.3,3,On-site
EMP-1049,24,Male,Bachelor's,Data Science,Senior Data Scientist,0.3,74041.91,3,Hybrid
EMP-1050,40,Female,Bachelor's,Engineering,Software Engineer,17.0,135319.85,3,Hybrid
EMP-1051,40,Male,High School,HR,HR Manager,12.2,116953.89,3,Hybrid
EMP-1052,56,Male,Bachelor's,Engineering,Tech Lead,7.1,115672.18,3,Remote
EMP-1053,44,Male,Master's,Sales,Sales Manager,15.0,159722.51,2,On-site
EMP-1054,49,Male,Bachelor's,Data Science,Data Science Manager,0.7,101720.26,2,Hybrid
EMP-1055,42,Male,PhD,Data Science,Senior Data Scientist,2.4,119460.76,3,Hybrid
EMP-1056,35,Male,High School,Sales,Sales Associate,3.4,55942.91,2,On-site
EMP-1057,29,Male,Master's,Data Science,Data Scientist,0.1,85466.91,3,Remote
EMP-1058,40,Male,Master's,HR,HR Specialist,10.3,108338.01,3,Hybrid
EMP-1059,52,Non-binary,Bachelor's,Engineering,Tech Lead,5.4,129001.01,2,On-site
EMP-1060,44,Male,Bachelor's,HR,HR Specialist,13.3,99434.65,2,Hybrid
EMP-1061,42,Male,Bachelor's,Sales,Sales Associate,10.4,105964.0,3,On-site
EMP-1062,42,Female,PhD,Data Science,Senior Data Scientist,6.5,120219.24,3,On-site
EMP-1063,22,Female,Bachelor's,Engineering,Tech Lead,0.0,95138.39,2,Hybrid
EMP-1064,40,Female,Bachelor's,HR,HR Manager,2.3,85699.09,2,Hybrid
EMP-1065,41,Female,Master's,Finance,Finance Manager,5.1,117342.35,2,Hybrid
EMP-1066,38,Male,Bachelor's,Sales,Sales Manager,9.7,122886.72,2,Remote
EMP-1067,43,Male,Master's,Data Science,Data Analyst,5.4,115002.81,4,Hybrid
EMP-1068,24,Female,High School,Data Science,Senior Data Scientist,1.3,68550.21,2,Remote
EMP-1069,43,Male,Bachelor's,Engineering,Engineering Manager,8.7,152656.39,3,Hybrid
EMP-1070,43,Male,Master's,Data Science,Data Scientist,12.5,144224.01,4,Remote
EMP-1071,44,Female,Master's,Executive,Vice President,4.4,150033.82,2,On-site
EMP-1072,30,Female,Bachelor's,Finance,Financial Analyst,7.3,88747.82,3,Remote
EMP-1073,38,Male,Bachelor's,Finance,Finance Manager,9.5,120696.41,5,On-site
EMP-1074,44,Female,Bachelor's,Finance,Senior Finance Analyst,18.3,129028.41,1,Hybrid
EMP-1075,48,Female,Master's,HR,HR Associate,20.2,143373.53,3,Remote
